Timestamp,Class,Confidence,BoundingBox_Area,Snapshot_File
2026-02-20 19:41:50,Pothole,0.74,74205,Pothole_20260220_194150_499.jpg
2026-02-20 19:41:51,Pothole,0.67,73360,Pothole_20260220_194151_111.jpg
2026-02-20 19:41:51,Pothole,0.73,68112,Pothole_20260220_194151_310.jpg
2026-02-20 19:41:51,Pothole,0.47,59143,Pothole_20260220_194151_480.jpg
2026-02-20 19:41:51,Pothole,0.50,46331,Pothole_20260220_194151_646.jpg
2026-02-20 19:41:51,Pothole,0.49,12702,Pothole_20260220_194151_649.jpg
2026-02-20 19:41:51,Pothole,0.46,9321,Pothole_20260220_194151_651.jpg
2026-02-20 19:41:51,Pothole,0.52,46010,Pothole_20260220_194151_817.jpg
2026-02-20 19:41:51,Pothole,0.49,12412,Pothole_20260220_194151_820.jpg
2026-02-20 19:41:51,Pothole,0.48,9321,Pothole_20260220_194151_822.jpg
2026-02-20 19:41:51,Pothole,0.60,42924,Pothole_20260220_194151_989.jpg
2026-02-20 19:41:51,Pothole,0.48,9120,Pothole_20260220_194151_994.jpg
2026-02-20 19:41:52,Pothole,0.56,36754,Pothole_20260220_194152_163.jpg
2026-02-20 19:41:52,Pothole,0.43,8470,Pothole_20260220_194152_166.jpg
2026-02-20 19:41:52,Pothole,0.72,29322,Pothole_20260220_194152_330.jpg
2026-02-20 19:41:52,Pothole,0.49,10368,Pothole_20260220_194152_334.jpg
2026-02-20 19:41:52,Pothole,0.71,26775,Pothole_20260220_194152_502.jpg
2026-02-20 19:41:52,Pothole,0.43,11375,Pothole_20260220_194152_507.jpg
2026-02-20 19:41:52,Pothole,0.49,24004,Pothole_20260220_194152_675.jpg
2026-02-20 19:41:52,Pothole,0.41,12090,Pothole_20260220_194152_678.jpg
2026-02-20 19:41:52,Pothole,0.54,23868,Pothole_20260220_194152_842.jpg
2026-02-20 19:41:52,Pothole,0.42,11211,Pothole_20260220_194152_846.jpg
2026-02-20 19:41:52,Pothole,0.28,11655,Pothole_20260220_194152_849.jpg
2026-02-20 19:41:52,Pothole,0.25,77602,Pothole_20260220_194152_851.jpg
2026-02-20 19:41:53,Pothole,0.57,18867,Pothole_20260220_194153_025.jpg
2026-02-20 19:41:53,Pothole,0.51,12587,Pothole_20260220_194153_028.jpg
2026-02-20 19:41:53,Pothole,0.29,11009,Pothole_20260220_194153_031.jpg
2026-02-20 19:41:53,Pothole,0.49,11130,Pothole_20260220_194153_200.jpg
2026-02-20 19:41:53,Pothole,0.47,10064,Pothole_20260220_194153_202.jpg
2026-02-20 19:41:53,Pothole,0.55,12402,Pothole_20260220_194153_371.jpg
2026-02-20 19:41:53,Pothole,0.50,12025,Pothole_20260220_194153_539.jpg
2026-02-20 19:41:53,Pothole,0.52,12236,Pothole_20260220_194153_706.jpg
2026-02-20 19:41:53,Pothole,0.37,10248,Pothole_20260220_194153_712.jpg
2026-02-20 19:41:53,Pothole,0.51,11840,Pothole_20260220_194153_878.jpg
2026-02-20 19:41:53,Pothole,0.38,10206,Pothole_20260220_194153_882.jpg
2026-02-20 19:41:54,Pothole,0.53,12616,Pothole_20260220_194154_050.jpg
2026-02-20 19:41:54,Pothole,0.81,8190,Pothole_20260220_194154_218.jpg
2026-02-20 19:41:54,Pothole,0.56,11736,Pothole_20260220_194154_221.jpg
2026-02-20 19:41:54,Pothole,0.56,8541,Pothole_20260220_194154_223.jpg
2026-02-20 19:41:54,Pothole,0.73,9585,Pothole_20260220_194154_385.jpg
2026-02-20 19:41:54,Pothole,0.62,13817,Pothole_20260220_194154_388.jpg
2026-02-20 19:41:54,Pothole,0.77,9563,Pothole_20260220_194154_553.jpg
2026-02-20 19:41:54,Pothole,0.62,14620,Pothole_20260220_194154_556.jpg
2026-02-20 19:41:54,Pothole,0.72,10434,Pothole_20260220_194154_722.jpg
2026-02-20 19:41:54,Pothole,0.61,13760,Pothole_20260220_194154_725.jpg
2026-02-20 19:41:54,Pothole,0.73,10412,Pothole_20260220_194154_889.jpg
2026-02-20 19:41:54,Pothole,0.58,13494,Pothole_20260220_194154_892.jpg
2026-02-20 19:41:55,Pothole,0.75,11455,Pothole_20260220_194155_061.jpg
2026-02-20 19:41:55,Pothole,0.62,14400,Pothole_20260220_194155_065.jpg
2026-02-20 19:41:55,Pothole,0.42,10209,Pothole_20260220_194155_071.jpg
2026-02-20 19:41:55,Pothole,0.68,16882,Pothole_20260220_194155_234.jpg
2026-02-20 19:41:55,Pothole,0.63,12580,Pothole_20260220_194155_238.jpg
2026-02-20 19:41:55,Pothole,0.70,13350,Pothole_20260220_194155_406.jpg
